name,time,distance,speed,status,trend
友谊大道,23-07-28,620,8.45,3,加重
和平大道,23-07-44,840,16.7,2,加重
京汉大道,23-07-44,630,12.88,3,加重
解放大道,23-07-44,1060,6.86,4,加重
解放大道,23-07-44,11980,8.41,4,加重
解放大道,23-07-44,1000,7.98,4,持平
解放大道,23-07-44,720,12.88,4,加重
解放大道,23-07-44,3820,22.31,2,持平
武胜路,23-07-44,1260,6.84,4,持平
香港路,23-07-44,680,9.26,3,加重
武汉大道,23-07-44,1420,10.6,4,加重
武汉大道,23-07-44,1970,11.27,4,加重
武汉大道,23-07-44,4590,14.46,4,加重
武汉大道,23-07-44,3150,24.47,3,持平
民主路,23-07-44,1830,16.47,2,加重
武汉长江大桥,23-07-44,1200,21,3,持平
武珞路,23-07-44,2070,12.93,3,持平
武珞路,23-07-44,1230,21.42,2,加重
鹦鹉大道,23-07-44,1190,10.67,3,持平
中山路,23-07-44,550,18.14,3,加重
中山路,23-07-44,590,22.75,3,加重
中山路,23-07-44,570,19.47,3,加重
中山路,23-07-44,600,14.84,3,持平
江汉桥,23-07-44,1170,6.51,4,持平
黄浦大街,23-07-44,2290,13.64,3,加重
中山大道,23-07-44,790,18.52,2,缓解
中山大道,23-07-44,780,20.52,2,缓解
中南路,23-07-44,560,8.24,4,加重
友谊大道,23-07-44,1700,3.61,4,持平
京汉大道,23-09-02,4480,17.36,2,持平
解放大道,23-09-02,570,13.14,4,持平
解放大道,23-09-02,8200,18.74,3,持平
解放大道,23-09-02,1000,20.51,2,加重
武胜路,23-09-02,1260,17.19,3,持平
晴川桥,23-09-02,510,16.12,3,持平
利济北路,23-09-02,750,8.48,3,加重
民意四路,23-09-02,830,9.11,3,加重
徐东大街,23-09-02,740,8.77,3,加重
武珞路辅路,23-09-02,520,12.89,3,加重
武珞路辅路,23-09-02,630,15,2,缓解
武汉大道,23-09-02,920,14.47,4,持平
武汉大道,23-09-02,3750,16.49,4,持平
武汉大道,23-09-02,1350,17.26,3,缓解
民主路,23-09-02,620,19.63,2,加重
中山路,23-09-02,570,8.76,4,加重
中山路,23-09-02,540,11.95,4,持平
中山路,23-09-02,800,8.12,4,缓解
江汉桥,23-09-02,1170,18.57,3,持平
中山大道,23-09-02,630,6.37,4,持平
友谊大道,23-09-02,650,1.49,4,加重
京汉大道,23-09-11,2440,18.95,2,持平
解放大道,23-09-11,2910,12.11,4,加重
解放大道,23-09-11,610,14.32,4,持平
解放大道,23-09-11,1210,12.96,3,加重
武胜路,23-09-11,1260,15.11,3,持平
晴川桥,23-09-11,510,15.16,3,加重
利济北路,23-09-11,780,8.31,3,持平
晴川街,23-09-11,600,15.51,3,加重
胭脂路,23-09-11,500,4.03,4,加重
徐东大街,23-09-11,1330,9.24,3,加重
武珞路辅路,23-09-11,630,14.76,2,持平
团结大道,23-09-11,540,17.04,2,加重
武汉大道,23-09-11,1240,19.83,3,持平
武汉大道,23-09-11,3240,21.01,3,持平
武珞路,23-09-11,1690,15.08,3,加重
中山路,23-09-11,540,16.54,3,缓解
中山路,23-09-11,570,21.36,3,缓解
中山路,23-09-11,600,15.09,3,加重
江汉桥,23-09-11,1170,17.8,3,持平
中山大道,23-09-11,970,6.47,3,持平
中山大道,23-09-11,710,20.46,2,加重
中山大道,23-09-11,950,15.27,2,加重
友谊大道,23-09-11,660,1.51,4,持平
京汉大道,23-10-32,3790,20.25,2,缓解
解放大道,23-10-32,1250,4.46,4,加重
解放大道,23-10-32,660,7.33,4,持平
解放大道,23-10-32,5400,13.79,4,持平
解放大道,23-10-32,680,7.3,3,缓解
尚隆路,23-10-32,660,7.56,3,加重
民主路,23-10-32,1810,13.51,3,加重
中山路,23-10-32,600,5.36,4,持平
中山大道,23-10-32,4030,7.96,3,持平
昙华林,23-10-32,600,8.77,3,缓解
解放大道,23-11-04,1250,3.73,4,加重
解放大道,23-11-04,660,4.78,4,持平
解放大道,23-11-04,4430,14.63,3,持平
解放大道,23-11-04,570,12.28,2,加重
武胜路,23-11-04,790,5.36,4,加重
知音大道,23-11-04,630,11.8,4,加重
利济北路,23-11-04,650,2.04,4,加重
胭脂路,23-11-04,500,1.22,4,加重
徐东大街,23-11-04,700,19.55,2,加重
武汉大道,23-11-04,680,17.03,3,缓解
武汉大道,23-11-04,580,20.13,3,加重
前进五路,23-11-04,550,6.95,3,加重
游艺路,23-11-04,580,7.34,3,加重
江汉桥,23-11-04,750,5.36,4,加重
中山大道,23-11-04,2430,6.9,4,加重
中山大道,23-11-04,4180,17.24,2,持平
昙华林,23-11-04,540,8.19,4,缓解
解放大道,23-11-36,660,2.6,4,持平
解放大道,23-11-36,1210,7.34,4,持平
解放大道,23-11-36,2770,19.94,3,缓解
武胜路,23-11-36,790,11.53,3,加重
利济北路,23-11-36,650,16.48,2,缓解
胭脂路,23-11-36,500,1.25,4,加重
中山路,23-11-36,500,18.47,2,加重
江汉桥,23-11-36,750,11.3,3,加重
中山大道,23-11-36,2010,16.05,2,加重
京汉大道,23-11-47,5290,17.49,2,加重
解放大道,23-11-47,590,5.24,4,缓解
解放大道,23-11-47,1210,7.86,4,持平
解放大道,23-11-47,1970,17.74,3,持平
武胜路,23-11-47,790,18.6,2,缓解
利济北路,23-11-47,780,14.24,2,持平
胭脂路,23-11-47,500,4.5,4,缓解
徐东大街,23-11-47,1830,16.73,2,加重
江汉桥,23-11-47,750,18.6,2,缓解
中山大道,23-11-47,990,17.81,2,缓解
京汉大道,23-12-18,850,11.04,3,加重
京汉大道,23-12-18,1700,16.13,2,加重
解放大道,23-12-18,1250,3.96,4,持平
解放大道,23-12-18,590,5.04,4,加重
解放大道,23-12-18,570,12.07,2,缓解
胭脂路,23-12-18,500,3.36,4,加重
徐东大街,23-12-18,1140,12.78,3,持平
胭脂路,23-12-38,500,1.42,4,加重
团结大道,23-12-38,720,16.61,3,加重
中山大道,23-12-38,660,15.3,2,加重
解放大道,23-12-48,590,2.47,4,加重
大兴路,23-12-48,550,16.62,2,加重
胭脂路,23-12-48,500,1.92,4,加重
团结大道,23-12-48,790,21.94,2,加重
前进五路,23-12-48,550,5.51,3,加重
解放大道,23-13-14,590,5.71,4,持平
胭脂路,23-13-14,500,3.36,4,持平
团结大道,23-13-14,760,18.77,2,加重
中山大道,23-13-14,1690,13.31,2,加重
胭脂路,23-13-32,500,1,4,加重
解放大道,23-13-44,590,6.2,4,加重
解放大道,23-13-44,500,15.01,4,加重
解放大道,23-13-44,970,24.73,2,加重
胭脂路,23-13-44,500,3.36,4,缓解
武珞路辅路,23-13-44,560,12.25,3,加重
武汉大道,23-13-44,1090,18.67,3,加重
中山路,23-13-44,600,5.36,4,加重
中山大道,23-13-44,540,15.75,2,加重
京汉大道,23-14-21,500,15.18,2,加重
解放大道,23-14-21,660,5.95,4,持平
解放大道,23-14-21,730,11.79,4,持平
解放大道,23-14-21,2310,16.17,3,缓解
胭脂路,23-14-21,500,4.59,4,持平
武珞路辅路,23-14-21,520,13.6,3,持平
团结大道,23-14-21,580,15.01,3,加重
武汉大道,23-14-21,1540,31.11,3,缓解
中山路,23-14-21,600,5.36,4,持平
中山大道,23-14-21,4270,15.7,2,加重
友谊大道,23-14-21,530,17.13,2,加重
中北路,23-14-48,510,10,4,加重
京汉大道,23-14-48,1470,11.46,3,加重
京汉大道,23-14-48,2960,19.62,2,加重
解放大道,23-14-48,590,4.98,4,加重
解放大道,23-14-48,1800,7.5,4,加重
解放大道,23-14-48,1150,12.41,4,持平
解放大道,23-14-48,1250,7.75,4,加重
解放大道,23-14-48,670,20.83,3,加重
武胜路,23-14-48,790,1,4,加重
利济北路,23-14-48,780,13.81,2,缓解
胭脂路,23-14-48,500,3.77,4,加重
武汉大道,23-14-48,3000,16.88,4,持平
前进一路,23-14-48,830,13.82,2,加重
中山路,23-14-48,600,5.36,4,持平
江汉桥,23-14-48,750,5.36,4,加重
中山大道,23-14-48,2010,6.77,4,加重
友谊大道,23-14-48,790,18.34,3,加重
解放大道,23-15-14,1100,11.07,4,加重
解放大道,23-15-14,590,8.12,4,缓解
解放大道,23-15-14,1210,9.24,4,持平
武胜路,23-15-14,1100,1.34,4,持平
利济北路,23-15-14,780,8.3,3,加重
胭脂路,23-15-14,500,8.39,3,缓解
徐东大街,23-15-14,1780,15.02,3,加重
武汉大道,23-15-14,1540,29.58,3,加重
中山路,23-15-14,600,5.36,4,持平
江汉桥,23-15-14,1060,6.58,4,缓解
中山大道,23-15-14,4180,16.27,2,加重
中山大道,23-15-14,4190,15.13,2,加重
友谊大道,23-15-14,1080,11.5,3,加重
中北路,23-15-28,510,10,4,加重
解放大道,23-15-28,590,6.59,4,加重
解放大道,23-15-28,570,4.37,4,加重
解放大道,23-15-28,1240,12.56,4,持平
解放大道,23-15-28,1250,10.86,3,加重
解放大道,23-15-28,740,18.6,3,加重
武胜路,23-15-28,790,18.6,2,缓解
利济北路,23-15-28,780,12.35,2,缓解
胭脂路,23-15-28,500,3.66,4,缓解
自治街,23-15-28,540,6.28,3,加重
前进一路,23-15-28,830,7.21,3,加重
中山路,23-15-28,600,5.36,4,持平
江汉桥,23-15-28,750,18.6,2,缓解
中山大道,23-15-28,5620,10.57,3,持平
中山大道,23-15-28,4060,17.03,2,缓解
友谊南路,23-15-28,500,17.71,2,加重
解放大道,23-15-44,1250,3.63,4,加重
解放大道,23-15-44,2070,21.71,3,加重
解放大道,23-15-44,3590,22.82,3,持平
利济北路,23-15-44,780,9.45,3,加重
胭脂路,23-15-44,500,4.28,4,缓解
民主一街,23-15-44,740,2.88,4,加重
武汉大道,23-15-44,1610,29.61,3,加重
中山路,23-15-44,550,14.58,3,加重
中北路,23-16-19,660,15.14,2,加重
京汉大道,23-16-19,3420,21.25,2,加重
解放大道,23-16-19,1000,11.18,3,缓解
解放大道,23-16-19,3700,17.02,3,持平
解放大道,23-16-19,740,22.17,3,加重
利济北路,23-16-19,780,2.19,4,加重
大兴路,23-16-19,520,14.33,3,加重
胭脂路,23-16-19,500,1,4,加重
中山大道,23-16-19,4330,7.28,4,加重
京汉大道,23-16-38,2810,17.85,2,持平
京汉大道,23-16-38,4210,19.28,2,加重
解放大道,23-16-38,3170,17.86,3,持平
解放大道,23-16-38,1210,13.21,3,缓解
解放大道,23-16-38,800,20.13,2,加重
利济北路,23-16-38,780,15.37,2,缓解
徐东大街,23-16-38,1760,7.53,3,加重
自治街,23-16-38,800,11.78,2,加重
多福路,23-16-38,500,13.98,3,加重
武珞路辅路,23-16-38,520,13.36,3,持平
沿河大道,23-16-38,560,5.92,4,加重
中山大道,23-16-38,1390,17.6,2,持平
中山大道,23-16-38,3060,19.69,2,缓解
友谊大道,23-16-38,1150,10.84,3,加重
友谊大道,23-16-38,1220,19.98,3,加重
京汉大道,23-16-50,990,11.86,3,加重
京汉大道,23-16-50,4430,15.61,2,持平
解放大道,23-16-50,590,8.33,4,加重
解放大道,23-16-50,2660,16.3,3,持平
解放大道,23-16-50,970,13.14,3,持平
解放大道,23-16-50,2070,23.6,3,加重
胭脂路,23-16-50,500,3.71,4,加重
武汉大道,23-16-50,540,13.34,4,加重
民主路,23-16-50,1000,2.59,4,加重
武珞路,23-16-50,1360,13.32,3,加重
前进一路,23-16-50,600,14.47,2,加重
沿河大道,23-16-50,650,3.04,4,加重
中山大道,23-16-50,540,13.65,2,加重
中山大道,23-16-50,4310,17.16,2,持平
友谊大道,23-16-50,1210,20.31,3,持平
京汉大道,23-17-16,2090,5.82,4,加重
京汉大道,23-17-16,5990,17.32,2,持平
解放大道,23-17-16,730,12.66,4,加重
解放大道,23-17-16,890,8.57,4,加重
解放大道,23-17-16,1040,15.51,4,持平
解放大道,23-17-16,580,16.55,3,加重
解放大道,23-17-16,2280,26.19,3,持平
武胜路,23-17-16,790,11.7,3,加重
武胜路,23-17-16,790,18.6,2,加重
利济北路,23-17-16,750,6.37,3,加重
大兴路,23-17-16,540,16.82,2,持平
胭脂路,23-17-16,500,1.71,4,加重
徐东大街,23-17-16,2080,14.42,3,缓解
珞喻路,23-17-16,770,10.67,4,加重
武珞路辅路,23-17-16,620,5.36,4,加重
拦江路,23-17-16,540,13.76,2,加重
武汉大道,23-17-16,850,13.8,4,加重
武汉大道,23-17-16,1200,18.9,3,加重
武汉大道,23-17-16,1400,17.63,3,持平
武珞路,23-17-16,610,21.38,2,缓解
鹦鹉大道,23-17-16,1230,14.65,3,加重
沿河大道,23-17-16,690,1.85,4,持平
江汉桥,23-17-16,750,18.6,2,加重
顺道街,23-17-16,540,4.85,4,加重
黄浦大街,23-17-16,2290,19.97,2,加重
中山大道,23-17-16,4530,7.53,3,加重
中山大道,23-17-16,660,9.06,3,加重
中南路,23-17-16,700,8.58,4,缓解
友谊大道,23-17-16,1270,19.75,3,持平
中北路,23-17-31,820,11.36,4,持平
中北路,23-17-31,720,18.6,3,加重
和平大道,23-17-31,690,20.83,2,持平
京汉大道,23-17-31,2900,14.37,2,持平
京汉大道,23-17-31,7250,18,2,加重
解放大道,23-17-31,1510,11.76,4,加重
解放大道,23-17-31,1200,11.51,4,持平
解放大道,23-17-31,890,7.73,4,加重
解放大道,23-17-31,630,16.31,3,持平
解放大道,23-17-31,5030,16.3,3,加重
解放大道,23-17-31,750,12.03,3,加重
武胜路,23-17-31,790,5.35,4,缓解
西马路,23-17-31,510,6.75,3,加重
胭脂路,23-17-31,500,5.17,4,缓解
徐东大街,23-17-31,1870,3.69,4,加重
徐东大街,23-17-31,1890,13.57,3,加重
解放路,23-17-31,1330,3.01,4,加重
武珞路辅路,23-17-31,630,7.89,3,加重
武汉大道,23-17-31,2230,16.73,4,持平
武汉大道,23-17-31,4400,16.45,4,持平
武汉大道,23-17-31,1620,17.02,4,持平
民主路,23-17-31,980,16.09,2,加重
武珞路,23-17-31,600,5.79,4,加重
武珞路,23-17-31,2370,16.54,3,加重
粮道街,23-17-31,840,13.23,2,加重
鹦鹉大道,23-17-31,1180,9.77,3,持平
鹦鹉大道,23-17-31,840,19.47,2,缓解
沿河大道,23-17-31,580,4.86,4,缓解
中山路,23-17-31,550,20.43,3,持平
中山路,23-17-31,830,22.61,3,加重
中山路,23-17-31,520,14.36,2,加重
顺道街,23-17-31,540,4.97,4,加重
黄浦大街,23-17-31,660,15.7,3,加重
中山大道,23-17-31,3100,7.4,4,持平
中山大道,23-17-31,840,12.67,2,加重
秦园东路,23-17-31,610,19.16,2,加重
中南路,23-17-31,700,8.81,4,加重
友谊大道,23-17-31,570,14.08,3,加重
友谊大道,23-17-31,1450,16.92,3,持平
江汉北路,23-17-44,660,9.11,3,加重
中北路,23-17-44,720,18.6,3,加重
中北路,23-17-44,700,19.08,3,加重
和平大道,23-17-44,1230,14.98,3,加重
京汉大道,23-17-44,3810,14.51,2,加重
京汉大道,23-17-44,7340,18.45,2,加重
解放大道,23-17-44,890,6.15,4,加重
解放大道,23-17-44,580,11.35,4,加重
解放大道,23-17-44,2320,16.09,3,加重
解放大道,23-17-44,680,7.01,3,加重
解放大道,23-17-44,2730,18.65,3,加重
解放大道,23-17-44,1180,12.56,3,加重
解放大道,23-17-44,5430,16.61,3,加重
武胜路,23-17-44,680,2.41,4,加重
武胜路,23-17-44,790,5.36,4,加重
沙湖大道,23-17-44,550,1.46,4,加重
沙湖大道,23-17-44,950,7.06,4,加重
沙湖大道,23-17-44,1690,17.58,2,加重
沙湖路,23-17-44,1030,19.26,2,持平
利济北路,23-17-44,750,12.51,2,加重
沿江大道,23-17-44,670,1.52,4,加重
徐东大街,23-17-44,2080,4,4,持平
徐东大街,23-17-44,2330,12.14,3,加重
公正路,23-17-44,760,7.84,4,加重
珞喻路,23-17-44,900,5.69,4,加重
珞喻路,23-17-44,1660,20.29,3,加重
解放路,23-17-44,1600,3.92,4,缓解
武珞路辅路,23-17-44,560,12.24,3,加重
武珞路辅路,23-17-44,730,12.11,3,持平
拦江路,23-17-44,590,7.2,3,加重
团结大道,23-17-44,610,15,3,加重
武汉大道,23-17-44,2400,16.87,4,持平
武汉大道,23-17-44,1620,16.08,4,持平
武汉大道,23-17-44,7970,26.47,3,持平
民主路,23-17-44,1840,4.14,4,加重
武珞路,23-17-44,910,1.9,4,缓解
武珞路,23-17-44,1740,4.42,4,加重
武珞路,23-17-44,2390,9.36,3,加重
粮道街,23-17-44,1070,14.07,2,持平
鹦鹉大道,23-17-44,1230,3.99,4,加重
沿河大道,23-17-44,1390,12.79,3,加重
沿河大道,23-17-44,2700,17.28,2,加重
中山路,23-17-44,600,5.36,4,加重
中山路,23-17-44,550,16.81,3,持平
中山路,23-17-44,860,13.83,3,加重
江汉桥,23-17-44,750,5.36,4,加重
黄浦大街,23-17-44,2140,22.49,2,持平
中山大道,23-17-44,3310,6.77,4,加重
中山大道,23-17-44,4880,16.49,2,持平
秦园东路,23-17-44,610,18.01,2,加重
南京路,23-17-44,790,9.62,3,加重
胜利街,23-17-44,1490,14.84,2,加重
大智路,23-17-44,620,1.51,4,加重
鄱阳街,23-17-44,630,16.36,2,加重
中南路,23-17-44,1190,7.05,4,持平
友谊大道,23-17-44,550,1,4,加重
友谊大道,23-17-44,610,16.83,3,缓解
江汉北路,23-18-16,850,3.15,4,加重
江汉北路,23-18-16,1200,7.53,3,持平
中北路,23-18-16,720,2.61,4,加重
中北路,23-18-16,1810,8.64,4,持平
中北路,23-18-16,830,6.15,4,持平
和平大道,23-18-16,610,8.02,4,加重
台北路,23-18-16,1410,2.37,4,加重
京汉大道,23-18-16,5930,17.76,2,持平
京汉大道,23-18-16,3810,17.69,2,持平
解放大道,23-18-16,600,2.09,4,加重
解放大道,23-18-16,650,3.5,4,加重
解放大道,23-18-16,640,5.83,4,加重
解放大道,23-18-16,990,6.78,4,加重
解放大道,23-18-16,1760,12.93,4,加重
解放大道,23-18-16,4920,13.1,4,持平
解放大道,23-18-16,630,17.29,3,缓解
武胜路,23-18-16,790,5.36,4,持平
晴川桥,23-18-16,610,13.96,3,加重
沙湖大道,23-18-16,950,5.36,4,持平
沙湖路,23-18-16,950,15.92,3,加重
香港路,23-18-16,1610,3.07,4,加重
沿江大道,23-18-16,1130,9.52,3,加重
民意四路,23-18-16,830,2.75,4,加重
晴川街,23-18-16,670,11.6,4,加重
徐东大街,23-18-16,700,2.26,4,加重
徐东大街,23-18-16,1920,4.22,4,加重
楚汉路,23-18-16,530,9.54,3,加重
楚汉路,23-18-16,2160,39.53,2,加重
珞喻路,23-18-16,1660,9.21,4,加重
珞喻路,23-18-16,900,11.28,4,缓解
珞喻路,23-18-16,500,18.6,3,持平
多福路,23-18-16,830,14.03,3,加重
武珞路辅路,23-18-16,620,5.36,4,加重
黄石路,23-18-16,720,6.71,3,加重
武汉大道,23-18-16,1880,12.99,4,加重
武汉大道,23-18-16,4260,14.67,4,持平
武汉大道,23-18-16,2950,18.12,3,缓解
民主路,23-18-16,680,5.57,4,加重
武汉长江大桥,23-18-16,1170,9.49,4,加重
武珞路,23-18-16,980,2.67,4,加重
游艺路,23-18-16,580,11.37,2,加重
鹦鹉大道,23-18-16,1030,2.62,4,持平
沿河大道,23-18-16,870,1.17,4,持平
中山路,23-18-16,1020,2.06,4,持平
中山路,23-18-16,600,5.36,4,加重
中山路,23-18-16,550,14.75,3,持平
中山路,23-18-16,830,22.34,3,加重
江汉桥,23-18-16,750,5.36,4,持平
黄浦大街,23-18-16,1780,18.46,3,持平
中山大道,23-18-16,4390,8.68,3,持平
中山大道,23-18-16,1260,13.93,2,加重
中山大道,23-18-16,1240,15.22,2,缓解
中山大道,23-18-16,840,15.48,2,加重
秦园东路,23-18-16,860,12.32,3,缓解
胜利街,23-18-16,910,16.09,2,加重
中南路,23-18-16,1190,8.66,3,持平
友谊大道,23-18-16,1560,3.34,4,持平
友谊大道,23-18-16,780,6.14,4,加重
江汉北路,23-18-36,540,6.65,3,持平
江汉北路,23-18-36,1190,12,3,持平
中北路,23-18-36,830,1.65,4,加重
和平大道,23-18-36,750,22.54,2,缓解
台北路,23-18-36,2200,5.82,4,缓解
京汉大道,23-18-36,2960,7,4,持平
京汉大道,23-18-36,7340,16.29,2,加重
解放大道,23-18-36,520,6.13,4,缓解
解放大道,23-18-36,1030,14.7,4,持平
解放大道,23-18-36,3020,15.16,3,持平
解放大道,23-18-36,890,16.67,3,持平
解放大道,23-18-36,7940,19.95,3,持平
晴川桥,23-18-36,740,7.12,4,加重
沙湖大道,23-18-36,950,5.36,4,加重
沙湖路,23-18-36,1360,15.63,2,加重
沙湖路,23-18-36,610,16.96,2,加重
香港路,23-18-36,2020,5.63,4,加重
沿江大道,23-18-36,610,18.68,2,加重
晴川街,23-18-36,890,7.3,4,加重
武汉长江隧道,23-18-36,1390,26.32,3,加重
徐东大街,23-18-36,2080,4.61,4,加重
徐东大街,23-18-36,2030,5.42,4,加重
楚汉路,23-18-36,780,16.45,2,加重
珞喻路,23-18-36,690,6.99,4,加重
珞喻路,23-18-36,570,7.89,4,加重
珞喻路,23-18-36,930,9.74,4,加重
武珞路辅路,23-18-36,630,4.3,4,持平
黄石路,23-18-36,960,7.38,3,加重
团结大道,23-18-36,800,17.73,2,缓解
武汉大道,23-18-36,610,15.36,4,持平
武汉大道,23-18-36,4260,16.08,4,持平
武汉大道,23-18-36,2910,19.35,3,持平
民主路,23-18-36,680,7.25,3,加重
武汉长江大桥,23-18-36,1490,21.33,3,持平
武珞路,23-18-36,980,3.18,4,持平
武珞路,23-18-36,2320,4.75,4,加重
鹦鹉大道,23-18-36,1020,19.58,2,加重
沿河大道,23-18-36,1910,4.89,4,持平
中山路,23-18-36,970,8.33,4,加重
中山路,23-18-36,550,16.97,3,持平
中山路,23-18-36,830,24.53,3,持平
中山路,23-18-36,600,13.64,3,加重
中山大道,23-18-36,890,4.63,4,加重
中山大道,23-18-36,4310,19.47,2,加重
胜利街,23-18-36,1230,17.28,2,加重
中南路,23-18-36,1190,9.54,3,缓解
友谊大道,23-18-36,610,17.49,3,缓解
和平大道,23-18-45,580,1.78,4,加重
团结路,23-18-45,650,19.69,2,加重
台北路,23-18-45,1420,6.05,4,加重
台北路,23-18-45,2110,5.69,4,持平
京汉大道,23-18-45,1660,3.64,4,加重
京汉大道,23-18-45,3820,13.95,3,加重
解放大道,23-18-45,950,11.66,4,加重
解放大道,23-18-45,730,20.64,3,缓解
解放大道,23-18-45,2880,22.07,3,缓解
晴川桥,23-18-45,740,1.83,4,加重
沙湖大道,23-18-45,510,8.98,3,缓解
沙湖路,23-18-45,950,18.26,2,持平
香港路,23-18-45,1350,4.39,4,加重
晴川街,23-18-45,810,1.71,4,加重
胭脂路,23-18-45,500,3.67,4,加重
徐东大街,23-18-45,1730,4.7,4,持平
珞喻路,23-18-45,500,6.87,4,持平
珞喻路,23-18-45,700,18.5,3,缓解
武珞路辅路,23-18-45,620,5.36,4,加重
武珞路辅路,23-18-45,630,6.28,4,缓解
黄石路,23-18-45,720,3.95,4,加重
团结大道,23-18-45,510,6.31,4,加重
团结大道,23-18-45,500,18.39,2,持平
武汉大道,23-18-45,4260,18.22,3,持平
武汉大道,23-18-45,2770,21.86,3,持平
民主路,23-18-45,2490,13.04,3,缓解
武珞路,23-18-45,980,10.71,3,缓解
武珞路,23-18-45,2330,19.45,2,缓解
鹦鹉大道,23-18-45,1030,17.94,2,持平
沿河大道,23-18-45,1680,13.97,3,缓解
中山路,23-18-45,1100,22.63,2,持平
黄浦大街,23-18-45,1550,16.26,3,加重
中山大道,23-18-45,660,5.98,4,持平
中山大道,23-18-45,960,6.5,3,加重
中山大道,23-18-45,4270,17.65,2,持平
胜利街,23-18-45,1540,16.97,2,持平
中南路,23-18-45,980,10.03,3,持平
友谊大道,23-18-45,1040,15.31,3,加重
台北路,23-19-12,2300,14.49,2,缓解
解放大道,23-19-12,2270,28.92,3,缓解
解放大道,23-19-12,2340,29.24,2,持平
解放大道,23-19-12,1000,26.21,2,持平
沙湖路,23-19-12,950,18.72,2,持平
香港路,23-19-12,1250,4.81,4,缓解
武珞路辅路,23-19-12,780,13.73,3,缓解
武珞路辅路,23-19-12,530,16.24,2,加重
拦江路,23-19-12,540,13.6,2,缓解
黄石路,23-19-12,720,5.89,3,持平
江汉二路,23-19-12,720,6.34,3,加重
团结大道,23-19-12,1090,20.66,2,缓解
武汉大道,23-19-12,1970,20.55,3,缓解
武汉大道,23-19-12,1790,21.47,3,持平
武珞路,23-19-12,680,9.18,3,持平
武珞路,23-19-12,2360,12.29,3,持平
鹦鹉大道,23-19-12,620,1.53,4,持平
中山路,23-19-12,1020,2.12,4,加重
中山路,23-19-12,830,9.38,4,持平
中山路,23-19-12,550,10.37,4,加重
中山大道,23-19-12,630,9.33,3,缓解
中山大道,23-19-12,660,8.75,3,加重
民生路,23-19-12,510,8.37,3,加重
中南路,23-19-12,630,9.36,3,缓解
七星路,23-19-25,680,7.44,4,加重
解放大道,23-19-25,510,5.42,4,加重
解放大道,23-19-25,620,19.05,2,持平
徐东大街,23-19-25,1790,16.23,2,缓解
黄石路,23-19-25,720,2.17,4,加重
团结大道,23-19-25,1120,20.3,2,持平
武汉大道,23-19-25,1300,20.64,3,持平
武珞路,23-19-25,970,7.73,4,缓解
中山路,23-19-25,1360,2.38,4,持平
中山路,23-19-25,830,11.4,4,持平
中山大道,23-19-25,5160,10.62,3,加重
中南路,23-19-25,560,10.41,3,持平
京汉大道,23-19-44,1570,19.88,2,加重
解放大道,23-19-44,750,2.44,4,加重
芦沟桥路,23-19-44,600,2.16,4,加重
沿江大道,23-19-44,530,5.6,4,加重
武汉大道,23-19-44,540,16.93,3,持平
胜利街,23-19-44,1000,17.09,2,加重
解放大道,23-20-40,500,8.03,4,加重
万松园路,23-20-40,640,10.89,3,加重
武珞路辅路,23-20-40,630,3.23,4,加重
