name,time,distance,speed,status,trend
中山路,22-15-09,570,14.29,3,加重
中山路,22-15-09,540,19.49,3,加重
中山路,22-15-09,550,34.21,2,加重
江汉桥,22-15-09,1080,1.32,4,加重
顺道街,22-15-09,540,1.7,4,加重
中山大道,22-15-09,5280,5.76,4,加重
中山大道,22-15-09,2120,5.92,4,加重
中山大道,22-15-09,960,15.67,2,加重
友谊大道,22-15-09,1300,19.23,3,持平
京汉大道,22-15-23,6220,11.56,3,持平
京汉大道,22-15-23,7220,18.26,2,持平
解放大道,22-15-23,1250,4.35,4,加重
解放大道,22-15-23,2200,13.92,4,加重
解放大道,22-15-23,3650,16.86,3,加重
解放大道,22-15-23,2320,18.94,3,缓解
武胜路,22-15-23,790,5.92,4,加重
武胜路,22-15-23,1120,6.2,4,缓解
沿江大道,22-15-23,2380,15.35,2,加重
胭脂路,22-15-23,500,1,4,持平
徐东大街,22-15-23,1920,15.84,2,持平
珞喻路,22-15-23,620,1.7,4,加重
武珞路辅路,22-15-23,560,1.26,4,加重
武汉大道,22-15-23,1400,15.91,4,加重
武汉大道,22-15-23,1370,17.67,3,加重
武珞路,22-15-23,2850,15.31,3,持平
武珞路,22-15-23,1030,22.95,2,缓解
前进一路,22-15-23,590,8.02,3,持平
中山路,22-15-23,600,5.36,4,持平
江汉桥,22-15-23,1060,6.45,4,缓解
中山大道,22-15-23,4240,4.07,4,加重
中山大道,22-15-23,4210,9.84,3,缓解
友谊大道,22-15-23,700,5.82,4,加重
友谊大道,22-15-23,500,17.69,2,缓解
中北路,22-15-33,620,4.76,4,加重
台北路,22-15-33,560,5.36,4,加重
京汉大道,22-15-33,2540,6.19,4,加重
京汉大道,22-15-33,6190,17.04,2,持平
解放大道,22-15-33,1250,4,4,持平
解放大道,22-15-33,2660,14.41,4,加重
解放大道,22-15-33,2090,17.84,3,持平
武胜路,22-15-33,900,1,4,加重
武胜路,22-15-33,790,17.26,3,缓解
沿江大道,22-15-33,890,7.94,3,加重
沿江大道,22-15-33,570,10.42,3,持平
胭脂路,22-15-33,500,3.36,4,缓解
徐东大街,22-15-33,1300,3.01,4,加重
徐东大街,22-15-33,2210,11.81,3,加重
珞喻路,22-15-33,620,1.87,4,持平
珞喻路,22-15-33,570,7.71,4,加重
武汉大道,22-15-33,1680,17.13,4,持平
武汉大道,22-15-33,1350,17.75,3,持平
前进五路,22-15-33,790,13.11,2,加重
民主路,22-15-33,2280,12.88,3,加重
民主路,22-15-33,1810,17.79,2,加重
武珞路,22-15-33,2170,20.22,2,缓解
中山路,22-15-33,600,5.36,4,持平
江汉桥,22-15-33,750,5.36,4,持平
中山大道,22-15-33,5620,5.66,4,缓解
中山大道,22-15-33,4240,10.26,3,持平
中山大道,22-15-33,840,14.55,2,加重
胜利街,22-15-33,1080,11.63,3,加重
中南路,22-15-33,670,18.05,2,加重
中北路,22-15-47,500,4.51,4,加重
和平大道,22-15-47,760,23.48,2,加重
京汉大道,22-15-47,7770,8.21,3,加重
京汉大道,22-15-47,7340,15.16,2,加重
解放大道,22-15-47,740,5.36,4,加重
解放大道,22-15-47,1000,8.19,4,加重
解放大道,22-15-47,2950,13.92,4,加重
解放大道,22-15-47,2270,13.71,4,加重
解放大道,22-15-47,2320,34.95,2,加重
芦沟桥路,22-15-47,600,9.37,3,加重
利济北路,22-15-47,780,9.44,3,加重
大兴路,22-15-47,550,15.94,3,加重
沿江大道,22-15-47,570,8.4,3,加重
沿江大道,22-15-47,790,11.26,3,持平
胭脂路,22-15-47,500,1.24,4,加重
徐东大街,22-15-47,1340,11.93,3,持平
武珞路辅路,22-15-47,560,7.29,4,持平
黄石路,22-15-47,530,6.25,3,加重
武汉大道,22-15-47,1880,14.17,4,持平
前进五路,22-15-47,790,5.41,3,加重
民主路,22-15-47,1010,5.82,4,加重
武珞路,22-15-47,2850,9.37,3,加重
武珞路,22-15-47,1330,13.29,3,加重
前进一路,22-15-47,590,15.22,2,加重
中山路,22-15-47,630,15.12,3,缓解
中山大道,22-15-47,840,10.9,3,加重
中山大道,22-15-47,4310,14.68,3,缓解
中山大道,22-15-47,5840,14.54,2,缓解
中南路,22-15-47,700,8.23,4,加重
中南路,22-15-47,670,20.54,2,持平
友谊大道,22-15-47,1150,20.67,2,加重
和平大道,22-16-13,760,21.04,2,缓解
台北路,22-16-13,750,7.42,3,加重
京汉大道,22-16-13,5430,11,3,持平
京汉大道,22-16-13,6110,15.59,2,缓解
解放大道,22-16-13,2810,14.07,4,加重
解放大道,22-16-13,2220,23.63,3,加重
武胜路,22-16-13,1170,1.42,4,持平
龟山南路,22-16-13,1140,20.67,3,加重
胭脂路,22-16-13,500,1,4,加重
徐东大街,22-16-13,540,1.38,4,加重
民主一街,22-16-13,890,3.9,4,加重
武珞路辅路,22-16-13,560,5.95,4,加重
拦江路,22-16-13,540,13.77,2,加重
武汉大道,22-16-13,3130,29.66,3,持平
武珞路,22-16-13,2820,15.82,3,缓解
前进一路,22-16-13,550,6.77,3,加重
铭新街,22-16-13,680,7.14,3,加重
鹦鹉大道,22-16-13,1000,8.98,3,加重
沿河大道,22-16-13,1390,13.5,3,加重
中山路,22-16-13,600,5.36,4,持平
中山路,22-16-13,570,19.68,3,加重
江汉桥,22-16-13,1060,1.37,4,持平
中山大道,22-16-13,970,8.11,3,加重
中山大道,22-16-13,840,11.6,3,持平
中山大道,22-16-13,4240,15.56,2,加重
中山大道,22-16-13,3820,16.78,2,缓解
中南路,22-16-13,630,9.32,3,缓解
中北路,22-16-40,500,4.74,4,加重
台北路,22-16-40,560,6.03,4,加重
解放大道,22-16-40,600,4.41,4,缓解
解放大道,22-16-40,2380,14.71,4,持平
解放大道,22-16-40,1790,14.77,4,持平
香港路,22-16-40,1480,13.66,2,加重
龟山南路,22-16-40,1000,20.17,3,持平
武汉长江隧道,22-16-40,810,17.07,3,加重
徐东大街,22-16-40,1270,16.76,2,持平
珞喻路,22-16-40,540,14.33,3,缓解
武珞路辅路,22-16-40,630,6.75,4,加重
武汉大道,22-16-40,2400,13.53,4,持平
武汉大道,22-16-40,1400,15.84,4,加重
武汉大道,22-16-40,2190,26.51,3,持平
武珞路,22-16-40,1920,8.23,4,缓解
武珞路,22-16-40,1330,22.26,2,加重
中山路,22-16-40,600,5.36,4,持平
中山路,22-16-40,550,15.59,3,持平
中山路,22-16-40,530,17.06,3,加重
中山路,22-16-40,1100,22.66,2,缓解
江汉桥,22-16-40,750,18.6,2,加重
黄浦大街,22-16-40,1800,21.72,2,加重
中山大道,22-16-40,4240,9.32,3,加重
中山大道,22-16-40,4310,13.75,3,缓解
中山大道,22-16-40,690,12.92,2,加重
中南路,22-16-40,560,17.46,2,加重
友谊大道,22-16-40,650,1.55,4,加重
和平大道,22-17-08,750,8.77,4,加重
京汉大道,22-17-08,1690,14.68,2,缓解
解放大道,22-17-08,2590,15.69,3,持平
解放大道,22-17-08,1350,17.41,3,缓解
武胜路,22-17-08,900,5.68,4,持平
沙湖路,22-17-08,1100,17.1,2,加重
胭脂路,22-17-08,500,3.36,4,加重
徐东大街,22-17-08,1700,6.25,4,加重
珞喻路,22-17-08,780,10.29,3,加重
武珞路辅路,22-17-08,620,5.36,4,加重
武汉大道,22-17-08,1070,16.57,4,持平
武汉大道,22-17-08,1440,16.88,4,缓解
武汉大道,22-17-08,650,23.55,3,持平
武汉大道,22-17-08,2220,25.47,3,持平
武珞路,22-17-08,2450,17.35,2,缓解
前进一路,22-17-08,600,13.3,2,加重
铭新街,22-17-08,680,7.8,3,加重
鹦鹉大道,22-17-08,560,1.41,4,加重
中山路,22-17-08,600,5.36,4,持平
中山路,22-17-08,830,23.77,3,持平
江汉桥,22-17-08,860,1.13,4,持平
中山大道,22-17-08,3470,9.3,3,加重
中山大道,22-17-08,3820,12.63,3,缓解
中山大道,22-17-08,960,16.09,2,加重
胜利街,22-17-08,1060,9.98,3,加重
中南路,22-17-08,980,10.68,3,缓解
昙华林,22-17-08,600,13.68,3,加重
友谊大道,22-17-08,650,1.55,4,缓解
友谊大道,22-17-08,580,1.88,4,加重
友谊大道,22-17-08,670,4.51,4,加重
和平大道,22-17-16,1000,20.33,3,缓解
京汉大道,22-17-16,5430,15.83,2,持平
解放大道,22-17-16,790,5.14,4,加重
解放大道,22-17-16,520,17.21,3,加重
解放大道,22-17-16,970,25.18,2,加重
武胜路,22-17-16,1260,1.52,4,加重
沙湖路,22-17-16,1360,12.13,3,加重
利济北路,22-17-16,780,14.36,2,加重
大兴路,22-17-16,550,19.1,2,加重
龟山南路,22-17-16,700,22.6,3,加重
徐东大街,22-17-16,1310,12.2,3,加重
珞喻路,22-17-16,780,8.04,3,缓解
武珞路辅路,22-17-16,620,5.36,4,持平
武珞路辅路,22-17-16,690,6.65,4,加重
武珞路辅路,22-17-16,630,7.29,4,加重
武汉大道,22-17-16,640,20.84,3,持平
武汉大道,22-17-16,2530,23.73,3,持平
铭新街,22-17-16,780,10.82,2,持平
江汉桥,22-17-16,1170,1.44,4,持平
顺道街,22-17-16,540,4.86,4,加重
友谊大道,22-17-16,650,1.96,4,持平
友谊大道,22-17-16,1450,4.78,4,缓解
京汉大道,22-17-31,4060,10.15,3,持平
利济北路,22-17-31,650,16.56,2,加重
中山大道,22-23-27,650,2.87,4,加重
京汉大道,23-07-14,1690,9.78,3,加重
京汉大道,23-07-14,1030,16.25,3,加重
解放大道,23-07-14,580,7.78,4,加重
解放大道,23-07-14,7250,7.98,4,加重
解放大道,23-07-14,1570,20.89,3,加重
解放大道,23-07-14,4600,23.83,2,缓解
解放公园路,23-07-14,590,1.76,4,加重
梅苑路,23-07-14,580,14.05,2,加重
沿江大道,23-07-14,610,15.31,2,加重
珞喻路,23-07-14,670,8.31,4,加重
武汉大道,23-07-14,540,12.82,4,加重
武汉大道,23-07-14,1720,17.29,4,持平
民主路,23-07-14,1500,12.51,3,加重
武珞路,23-07-14,990,8.42,4,加重
武珞路,23-07-14,1960,13.7,3,加重
粮道街,23-07-14,1350,3.23,4,加重
中山路,23-07-14,520,14.36,2,缓解
黄浦大街,23-07-14,810,10.48,4,加重
中山大道,23-07-14,1170,5.62,4,加重
和平大道,23-07-28,780,9.95,3,持平
京汉大道,23-07-28,1690,4.56,4,加重
京汉大道,23-07-28,740,8.91,4,加重
解放大道,23-07-28,960,1.81,4,加重
解放大道,23-07-28,970,11.66,3,持平
解放大道,23-07-28,1110,21.37,3,持平
解放大道,23-07-28,4840,21.58,2,持平
武胜路,23-07-28,1100,10.76,3,加重
沿江大道,23-07-28,740,4.03,4,加重
沿江大道,23-07-28,610,17.8,2,加重
万松园路,23-07-28,1040,6.91,4,持平
胭脂路,23-07-28,800,2.82,4,缓解
珞喻路,23-07-28,1090,7.87,4,持平
武汉大道,23-07-28,1880,15.38,4,持平
武汉大道,23-07-28,1580,18.41,3,缓解
武汉大道,23-07-28,3130,29.32,3,加重
武珞路,23-07-28,1240,10.2,3,持平
武珞路,23-07-28,2310,12.14,3,加重
粮道街,23-07-28,1070,3.14,4,持平
鹦鹉大道,23-07-28,1000,6.8,4,持平
中山路,23-07-28,550,28.11,2,加重
江汉桥,23-07-28,1080,10.9,3,加重
中山大道,23-07-28,770,10.29,3,加重
中山大道,23-07-28,1300,12.27,3,加重
中山大道,23-07-28,1400,12.09,3,缓解
友谊大道,23-07-28,520,1.24,4,持平
友谊大道,23-07-28,620,8.45,3,加重
和平大道,23-07-44,840,16.7,2,加重
京汉大道,23-07-44,630,12.88,3,加重
解放大道,23-07-44,1060,6.86,4,加重
解放大道,23-07-44,11980,8.41,4,加重
解放大道,23-07-44,1000,7.98,4,持平
解放大道,23-07-44,720,12.88,4,加重
解放大道,23-07-44,3820,22.31,2,持平
武胜路,23-07-44,1260,6.84,4,持平
香港路,23-07-44,680,9.26,3,加重
武汉大道,23-07-44,1420,10.6,4,加重
武汉大道,23-07-44,1970,11.27,4,加重
武汉大道,23-07-44,4590,14.46,4,加重
武汉大道,23-07-44,3150,24.47,3,持平
民主路,23-07-44,1830,16.47,2,加重
武汉长江大桥,23-07-44,1200,21,3,持平
武珞路,23-07-44,2070,12.93,3,持平
武珞路,23-07-44,1230,21.42,2,加重
鹦鹉大道,23-07-44,1190,10.67,3,持平
中山路,23-07-44,550,18.14,3,加重
中山路,23-07-44,590,22.75,3,加重
中山路,23-07-44,570,19.47,3,加重
中山路,23-07-44,600,14.84,3,持平
江汉桥,23-07-44,1170,6.51,4,持平
黄浦大街,23-07-44,2290,13.64,3,加重
中山大道,23-07-44,790,18.52,2,缓解
中山大道,23-07-44,780,20.52,2,缓解
中南路,23-07-44,560,8.24,4,加重
友谊大道,23-07-44,1700,3.61,4,持平
京汉大道,23-09-02,4480,17.36,2,持平
解放大道,23-09-02,570,13.14,4,持平
解放大道,23-09-02,8200,18.74,3,持平
解放大道,23-09-02,1000,20.51,2,加重
武胜路,23-09-02,1260,17.19,3,持平
晴川桥,23-09-02,510,16.12,3,持平
利济北路,23-09-02,750,8.48,3,加重
民意四路,23-09-02,830,9.11,3,加重
徐东大街,23-09-02,740,8.77,3,加重
武珞路辅路,23-09-02,520,12.89,3,加重
武珞路辅路,23-09-02,630,15,2,缓解
武汉大道,23-09-02,920,14.47,4,持平
武汉大道,23-09-02,3750,16.49,4,持平
武汉大道,23-09-02,1350,17.26,3,缓解
民主路,23-09-02,620,19.63,2,加重
中山路,23-09-02,570,8.76,4,加重
中山路,23-09-02,540,11.95,4,持平
中山路,23-09-02,800,8.12,4,缓解
江汉桥,23-09-02,1170,18.57,3,持平
中山大道,23-09-02,630,6.37,4,持平
友谊大道,23-09-02,650,1.49,4,加重
京汉大道,23-09-11,2440,18.95,2,持平
解放大道,23-09-11,2910,12.11,4,加重
解放大道,23-09-11,610,14.32,4,持平
解放大道,23-09-11,1210,12.96,3,加重
武胜路,23-09-11,1260,15.11,3,持平
晴川桥,23-09-11,510,15.16,3,加重
利济北路,23-09-11,780,8.31,3,持平
晴川街,23-09-11,600,15.51,3,加重
胭脂路,23-09-11,500,4.03,4,加重
徐东大街,23-09-11,1330,9.24,3,加重
武珞路辅路,23-09-11,630,14.76,2,持平
团结大道,23-09-11,540,17.04,2,加重
武汉大道,23-09-11,1240,19.83,3,持平
武汉大道,23-09-11,3240,21.01,3,持平
武珞路,23-09-11,1690,15.08,3,加重
中山路,23-09-11,540,16.54,3,缓解
中山路,23-09-11,570,21.36,3,缓解
中山路,23-09-11,600,15.09,3,加重
江汉桥,23-09-11,1170,17.8,3,持平
中山大道,23-09-11,970,6.47,3,持平
中山大道,23-09-11,710,20.46,2,加重
中山大道,23-09-11,950,15.27,2,加重
友谊大道,23-09-11,660,1.51,4,持平
京汉大道,23-10-32,3790,20.25,2,缓解
解放大道,23-10-32,1250,4.46,4,加重
解放大道,23-10-32,660,7.33,4,持平
解放大道,23-10-32,5400,13.79,4,持平
解放大道,23-10-32,680,7.3,3,缓解
尚隆路,23-10-32,660,7.56,3,加重
民主路,23-10-32,1810,13.51,3,加重
中山路,23-10-32,600,5.36,4,持平
中山大道,23-10-32,4030,7.96,3,持平
昙华林,23-10-32,600,8.77,3,缓解
解放大道,23-11-04,1250,3.73,4,加重
解放大道,23-11-04,660,4.78,4,持平
解放大道,23-11-04,4430,14.63,3,持平
解放大道,23-11-04,570,12.28,2,加重
武胜路,23-11-04,790,5.36,4,加重
知音大道,23-11-04,630,11.8,4,加重
利济北路,23-11-04,650,2.04,4,加重
胭脂路,23-11-04,500,1.22,4,加重
徐东大街,23-11-04,700,19.55,2,加重
武汉大道,23-11-04,680,17.03,3,缓解
武汉大道,23-11-04,580,20.13,3,加重
前进五路,23-11-04,550,6.95,3,加重
游艺路,23-11-04,580,7.34,3,加重
江汉桥,23-11-04,750,5.36,4,加重
中山大道,23-11-04,2430,6.9,4,加重
中山大道,23-11-04,4180,17.24,2,持平
昙华林,23-11-04,540,8.19,4,缓解
解放大道,23-11-36,660,2.6,4,持平
解放大道,23-11-36,1210,7.34,4,持平
解放大道,23-11-36,2770,19.94,3,缓解
武胜路,23-11-36,790,11.53,3,加重
利济北路,23-11-36,650,16.48,2,缓解
胭脂路,23-11-36,500,1.25,4,加重
中山路,23-11-36,500,18.47,2,加重
江汉桥,23-11-36,750,11.3,3,加重
中山大道,23-11-36,2010,16.05,2,加重
京汉大道,23-11-47,5290,17.49,2,加重
解放大道,23-11-47,590,5.24,4,缓解
解放大道,23-11-47,1210,7.86,4,持平
解放大道,23-11-47,1970,17.74,3,持平
武胜路,23-11-47,790,18.6,2,缓解
利济北路,23-11-47,780,14.24,2,持平
胭脂路,23-11-47,500,4.5,4,缓解
徐东大街,23-11-47,1830,16.73,2,加重
江汉桥,23-11-47,750,18.6,2,缓解
中山大道,23-11-47,990,17.81,2,缓解
京汉大道,23-12-18,850,11.04,3,加重
京汉大道,23-12-18,1700,16.13,2,加重
解放大道,23-12-18,1250,3.96,4,持平
解放大道,23-12-18,590,5.04,4,加重
解放大道,23-12-18,570,12.07,2,缓解
胭脂路,23-12-18,500,3.36,4,加重
徐东大街,23-12-18,1140,12.78,3,持平
胭脂路,23-12-38,500,1.42,4,加重
团结大道,23-12-38,720,16.61,3,加重
中山大道,23-12-38,660,15.3,2,加重
解放大道,23-12-48,590,2.47,4,加重
大兴路,23-12-48,550,16.62,2,加重
胭脂路,23-12-48,500,1.92,4,加重
团结大道,23-12-48,790,21.94,2,加重
前进五路,23-12-48,550,5.51,3,加重
解放大道,23-13-14,590,5.71,4,持平
胭脂路,23-13-14,500,3.36,4,持平
团结大道,23-13-14,760,18.77,2,加重
中山大道,23-13-14,1690,13.31,2,加重
胭脂路,23-13-32,500,1,4,加重
解放大道,23-13-44,590,6.2,4,加重
解放大道,23-13-44,500,15.01,4,加重
解放大道,23-13-44,970,24.73,2,加重
胭脂路,23-13-44,500,3.36,4,缓解
武珞路辅路,23-13-44,560,12.25,3,加重
武汉大道,23-13-44,1090,18.67,3,加重
中山路,23-13-44,600,5.36,4,加重
中山大道,23-13-44,540,15.75,2,加重
京汉大道,23-14-21,500,15.18,2,加重
解放大道,23-14-21,660,5.95,4,持平
解放大道,23-14-21,730,11.79,4,持平
解放大道,23-14-21,2310,16.17,3,缓解
胭脂路,23-14-21,500,4.59,4,持平
武珞路辅路,23-14-21,520,13.6,3,持平
团结大道,23-14-21,580,15.01,3,加重
武汉大道,23-14-21,1540,31.11,3,缓解
中山路,23-14-21,600,5.36,4,持平
中山大道,23-14-21,4270,15.7,2,加重
友谊大道,23-14-21,530,17.13,2,加重
中北路,23-14-48,510,10,4,加重
京汉大道,23-14-48,1470,11.46,3,加重
京汉大道,23-14-48,2960,19.62,2,加重
解放大道,23-14-48,590,4.98,4,加重
解放大道,23-14-48,1800,7.5,4,加重
解放大道,23-14-48,1150,12.41,4,持平
解放大道,23-14-48,1250,7.75,4,加重
解放大道,23-14-48,670,20.83,3,加重
武胜路,23-14-48,790,1,4,加重
利济北路,23-14-48,780,13.81,2,缓解
胭脂路,23-14-48,500,3.77,4,加重
武汉大道,23-14-48,3000,16.88,4,持平
前进一路,23-14-48,830,13.82,2,加重
